ANO,MS,DI,HR,1200535,1200579,1210762
2018,1,24,2,-990.0,.0,.0
2018,1,24,3,-990.0,.0,.0
2018,1,24,4,-990.0,.0,.0
2018,1,24,5,-990.0,.0,.0
2018,1,24,6,-990.0,.0,.0
2018,1,24,7,-990.0,.0,.0
2018,1,24,8,-990.0,6.3,4.3
2018,1,24,9,-990.0,155.6,120.6
2018,1,24,10,-990.0,477.3,524.8
2018,1,24,11,-990.0,847.2,633.4
2018,1,24,12,-990.0,1326.2,1050.5
2018,1,24,13,-990.0,1774.5,1242.9
2018,1,24,14,-990.0,1759.6,1077.0
2018,1,24,15,-990.0,1282.1,1087.9
2018,1,24,16,-990.0,1060.3,1007.9
2018,1,24,17,-990.0,475.5,483.9
2018,1,24,18,-990.0,70.3,71.7
2018,1,24,19,-990.0,.0,.0
2018,1,24,20,-990.0,.0,.0
2018,1,24,21,-990.0,.0,.0
2018,1,24,22,-990.0,.0,.0
2018,1,24,23,-990.0,.0,.0
2018,1,25,0,-990.0,.0,.0
2018,1,25,1,-990.0,.0,.7
2018,1,25,2,-990.0,.0,.0
2018,1,25,3,-990.0,.0,.0
2018,1,25,4,-990.0,.0,.0
2018,1,25,5,-990.0,.0,.7
2018,1,25,6,-990.0,.0,.0
2018,1,25,7,-990.0,.0,.0
2018,1,25,8,-990.0,1.0,.6
2018,1,25,9,-990.0,112.7,98.4
2018,1,25,10,-990.0,297.7,283.1
2018,1,25,11,-990.0,475.9,537.5
2018,1,25,12,-990.0,1566.0,1075.7
2018,1,25,13,-990.0,2206.2,1797.9
2018,1,25,14,-990.0,1780.7,1339.6
2018,1,25,15,-990.0,1416.7,1328.9
2018,1,25,16,-990.0,1297.1,1212.8
2018,1,25,17,-990.0,635.5,713.9
2018,1,25,18,-990.0,119.2,91.6
2018,1,25,19,-990.0,.0,.0
2018,1,25,20,-990.0,.0,.0
2018,1,25,21,-990.0,.0,.0
2018,1,25,22,-990.0,.0,.0
2018,1,25,23,-990.0,.0,.1
2018,1,26,0,-990.0,.0,.0
2018,1,26,1,-990.0,.0,.0
2018,1,26,2,-990.0,.0,.0
2018,1,26,3,-990.0,.0,.0
2018,1,26,4,-990.0,.0,.1
2018,1,26,5,-990.0,.0,.0
2018,1,26,6,-990.0,.0,.0
2018,1,26,7,-990.0,.0,.0
2018,1,26,8,-990.0,6.5,3.2
2018,1,26,9,-990.0,341.8,216.2
2018,1,26,10,-990.0,956.2,742.2
2018,1,26,11,-990.0,1466.3,923.9
2018,1,26,12,-990.0,1956.8,1053.4
2018,1,26,13,-990.0,1971.2,1772.1
2018,1,26,14,-990.0,2094.3,1342.6
2018,1,26,15,-990.0,1623.0,1036.2
2018,1,26,16,-990.0,926.0,545.3
2018,1,26,17,-990.0,639.0,475.5
2018,1,26,18,-990.0,105.6,84.7
2018,1,26,19,-990.0,.0,.0
2018,1,26,20,-990.0,.0,.0
2018,1,26,21,-990.0,.0,.0
2018,1,26,22,-990.0,.0,.0
2018,1,26,23,-990.0,.0,.0
2018,1,27,0,-990.0,.0,.0
2018,1,27,1,-990.0,.0,.0
2018,1,27,2,-990.0,.0,.0
2018,1,27,3,-990.0,.0,.0
2018,1,27,4,-990.0,.0,.0
2018,1,27,5,-990.0,.0,.0
2018,1,27,6,-990.0,.0,.0
2018,1,27,7,-990.0,.0,.0
2018,1,27,8,-990.0,6.0,1.5
